OBJECTID_1,OBJECTID,PROVINCE,DISTRICT,Shape_Leng,ADMIN_UNIT,Shape_Le_1,Shape_Le_2,Latitude,Longitude,Population,Shape_Le_3,Shape_Area,Region
"1","124",SINDH,BADIN,5.00829098434,DISTRICT,5.00834769254,5.00834769254,24.3000,68.8333,1804958.00000000000,5.00834768974,0.57730030259,Karachi Region
"2","125",SINDH,DADU,4.23682585578,DISTRICT,4.35593515050,4.35593515050,26.1667,67.7500,1550390.00000000000,4.35593514936,0.72970712111,Karachi Region
"3","126",SINDH,GHOTKI,3.79730810176,DISTRICT,4.09732840114,4.09732840114,27.5500,68.8667,1648708.00000000000,4.09732839566,0.59595041958,Karachi Region
"4","127",SINDH,HYDERABAD,1.44826589485,DISTRICT,1.44826589086,1.44826589086,25.3667,68.3667,2199928.00000000000,1.44826588924,0.09160207462,Karachi Region
"5","128",SINDH,JACOBABAD,2.85527709441,DISTRICT,2.85527709513,2.85527709513,28.2800,68.4333,1007009.00000000000,2.85527709040,0.25473106910,Karachi Region
"6","129",SINDH,JAMSHORO,5.49028430973,DISTRICT,5.52716129682,5.52716129682,25.4400,68.2000,993908.00000000000,5.52716128991,1.01209517891,Karachi Region
"7","131",SINDH,KASHMORE,2.86194861983,DISTRICT,2.67893910091,2.67893910091,28.0500	,69.0000,1090336.00000000000,2.67893909382,0.23462616620,Karachi Region
"8","132",SINDH,KHAIRPUR,7.01590458160,DISTRICT,7.01590458351,7.01590458351,27.7000,68.8000,2405190.00000000000,7.01590458370,1.44586357857,Karachi Region
"9","133",SINDH,LARKANA,2.68535164249,DISTRICT,2.67880204397,2.67880204397,27.5600,68.2000,1521786.00000000000,2.67880203879,0.17414306449,Southern Sindh
"10","134",SINDH,MATIARI,2.23134848310,DISTRICT,2.23134848858,2.23134848858,25.3500,68.1500,770040.00000000000,2.23134848669,0.13129350609,Central Sindh
"11","135",SINDH,MIRPURKHAS,3.14574955447,DISTRICT,3.14574955481,3.14574955481,25.3797,68.1322,1504440.00000000000,3.14574955441,0.29759634979,Northern Sindh
"12","136",SINDH,NAUSHAHRO FEROZ,2.64668192685,DISTRICT,2.65839157323,2.65839157323,26.0500,68.4167,1612047.00000000000,2.65839157321,0.27498124258,Central Sindh
"13","137",SINDH,SANGHAR,5.75017203269,DISTRICT,5.75017203669,5.75017203669,26.0000,68.7667,2049873.00000000000,5.75017203250,0.92459613914,Northern Sindh
"14","138",SINDH,SHAHDAD KOT,3.17331955374,DISTRICT,3.17304802540,3.17304802540,26.0000,68.7667,1338035.00000000000,3.17304802159,0.51194235011,Central Sindh
"15","139",SINDH,S. BENAZIRABAD,3.05411393256,DISTRICT,3.05411392877,3.05411392877,27.3600,68.4100,1613506.00000000000,3.05411392605,0.41763135356,Northern Sindh
"16","140",SINDH,SHIKARPHUR,2.23221604234,DISTRICT,2.23221604109,2.23221604109,26.5000,68.5833,1233760.00000000000,2.23221604108,0.23629695764,Northern Sindh
"17","141",SINDH,SUKKUR,4.09755970499,DISTRICT,4.09755970642,4.09755970642,27.0400,69.3500,1488372.00000000000,4.09755970546,0.47639891040,Northern Sindh
"18","142",SINDH,T. AYAR,1.73941070962,DISTRICT,1.73941070978,1.73941070978,27.7167,69.0500,838527.00000000000,1.73941070883,0.14118162612,Central Sindh
"19","143",SINDH,T. M KHAN,2.89956606141,DISTRICT,2.89956606187,2.89956606187,26.5000,68.8000,677098.00000000000,2.89956605940,0.16215717088,Central Sindh
"20","144",SINDH,THARPARKAR,7.92529503264,DISTRICT,7.92529503622,7.92529503622,27.4500,67.8167,1647036.00000000000,7.92529503035,1.76824657270,Central Sindh
"21","145",SINDH,SUJJAWAL,14.29190036050,DISTRICT,6.40530771116,6.40530771116,24.1700,69.0000,779062.00000000000,6.40530770474,0.77336383965,Central Sindh
"22","146",SINDH,UMERKOT,4.46403037632,DISTRICT,4.46403037810,4.46403037810,25.4569,67.8891,1073469.00000000000,4.46403037308,0.49362586734,Northern Sindh
"23","130",SINDH,KARACHI CENTRAL,0.00000000000,DISTRICT,0.36669101469,0.36669101469,25.3800,69.0500,2971382.00000000000,0.36669101430,0.00549670164,Central Sindh
"25","130",SINDH,MALIR CANTONMENT,0.00000000000,CANTONMENT,0.43908744128,0.43908744128,24.8667,67.0333,1924346.00000000000,0.43908744456,0.00652847273,Northern Sindh
"26","130",SINDH,KORANGI CREEK CANTONMENT,0.00000000000,CANTONMENT,0.23339070957,0.23339070957,24.9000,67.1167,2577556.00000000000,0.23339071031,0.00198385017,Northern Sindh
"31","130",SINDH,KARACHI SOUTH,0.00000000000,DISTRICT,0.65861998605,0.65861998605,24.8450,67.1800,1769230.00000000000,0.65861999133,0.00543727987,Central Sindh
"32","130",SINDH,MALIR,0.00000000000,DISTRICT,3.55342665472,3.55342665472,24.8000,67.0000,1924346.00000000000,3.55342664766,0.24521039501,Southern Sindh
"33","130",SINDH,KORANGI,0.00000000000,DISTRICT,0.54570994976,0.54570994976,24.8500,67.2167,2577556.00000000000,0.54570994774,0.00815625042,Southern Sindh
"34","130",SINDH,KARACHI EAST,0.00000000000,DISTRICT,0.41492140264,0.41492140264,24.9000,67.0667,2875315.00000000000,0.41492139810,0.00497678513,Southern Sindh
"35","145",SINDH,THATTA,14.29190036050,DISTRICT,11.79513265180,11.79513265180,24.9000,68.2000,982138.00000000000,11.79513264650,0.68755451043,Southern Sindh
"24","130",SINDH,KARACHI WEST,0.00000000000,DISTRICT,1.59304988696,1.59304988696,24.8500,67.1667,3907065.00000000000,1.59304990193,0.04259149689,Southern Sindh
